B00, 0
B01, 0
B02, 0
B03, 0
B04, 0
B05, 3
B12, Trade, 428878.200, 87, B12, S09, 1
B12, Trade, 428935.817, 90, B12, S03, 1
B12, Trade, 428974.400, 90, B12, S05, 1
B12, Trade, 429024.633, 90, B12, S03, 1
B12, Trade, 429074.650, 88, B12, S06, 1
B12, Trade, 429100.817, 90, B12, S05, 1
B12, Trade, 429119.450, 90, B12, S04, 1
B12, Trade, 429126.600, 90, B12, S01, 1
B12, Trade, 429175.200, 90, B12, S08, 1
B12, Trade, 429207.750, 90, B12, S05, 1
B12, Trade, 429229.783, 90, B12, S08, 1
B12, Trade, 429234.200, 90, B12, S08, 1
