B05, Trade, 366630.600, 92, B05, S04, 1
B05, Trade, 366661.267, 109, B05, S21, 1
B05, Trade, 366664.417, 117, B05, S26, 1
B05, Trade, 366670.083, 126, B05, S25, 1
B05, Trade, 366702.200, 82, B05, S26, 1
B05, Trade, 366704.717, 97, S09, B05, 1
B05, Trade, 366715.433, 108, B05, S04, 1
B05, Trade, 366731.000, 122, B05, S21, 1
B05, Trade, 366734.117, 116, B05, S00, 1
B05, Trade, 366750.933, 64, S10, B05, 1
B05, Trade, 366757.100, 66, S24, B05, 1
B05, Trade, 366766.433, 107, B05, S21, 1
B05, Trade, 366770.250, 121, B05, S14, 1
