B05, Trade, 258876.850, 140, B05, S22, 1
B05, Trade, 258880.217, 127, B05, S01, 1
B05, Trade, 258886.233, 105, B05, S25, 1
B05, Trade, 258890.667, 132, B05, S06, 1
B05, Trade, 258901.850, 112, B05, S00, 1
B05, Trade, 258909.767, 120, B05, S26, 1
B05, Trade, 258915.200, 106, B05, S05, 1
B05, Trade, 258919.383, 93, B05, S19, 1
B05, Trade, 258923.033, 133, B05, S06, 1
B05, Trade, 258928.417, 116, B05, S06, 1
B05, Trade, 258935.150, 113, B05, S06, 1
B05, Trade, 258940.867, 105, B05, S06, 1
B05, Trade, 258944.033, 127, B05, S10, 1
B05, Trade, 258947.183, 140, B05, S28, 1
B05, Trade, 258963.467, 115, B05, S02, 1
B05, Trade, 258966.750, 115, B05, S01, 1
